ac|en|fi|pt|ru|zh|ja|ko|de
amulets_unique47|Caster A|Caster A|Caster A|Caster A|A级铸工护身符|Caster A|Caster A|Caster A
amulets_unique48|Caster S|Caster S|Caster S|Caster S|S级铸工护身符|Caster S|Caster S|Caster S
amulets_unique49|Ranged C|Ranged C|Ranged C|Ranged C|C级漫游吊坠|Ranged C|Ranged C|Ranged C
amulets_unique50|Ranged A|Ranged A|Ranged A|Ranged A|A级漫游吊坠|Ranged A|Ranged A|Ranged A
amulets_unique51|Ranged S|Ranged S|Ranged S|Ranged S|S级漫游吊坠|Ranged S|Ranged S|Ranged S
amulets_unique52|Thorns C|Thorns C|Thorns C|Thorns C|C级荆棘护身符|Thorns C|Thorns C|Thorns C
amulets_unique53|Thorns A|Thorns A|Thorns A|Thorns A|A级荆棘护身符|Thorns A|Thorns A|Thorns A
amulets_unique54|Thorns S|Thorns S|Thorns S|Thorns S|S级荆棘护身符|Thorns S|Thorns S|Thorns S
amulets_unique55|Tank C|Tank C|Tank C|Tank C|C级坦克勋章|Tank C|Tank C|Tank C
amulets_unique56|Tank A|Tank A|Tank A|Tank A|A级坦克勋章|Tank A|Tank A|Tank A
amulets_unique57|Tank S|Tank S|Tank S|Tank S|S级坦克勋章|Tank S|Tank S|Tank S
amulets_unique58|Chronomancer's Curio of Time|||||||
[charms]||||||||
charms0|Jagged Charm|Risa Taikakalu|Talismã Recortado|Зубчатый талисман|锯齿挂坠|ギザギザのお守り|찢어진 부적|Gezacktes Amulett
charms1|Rugged Charm|Karu Taikakalu|Talismã Robusto|Усиленный талисман|粗糙挂坠|ごついお守り|견고한 부적|Grobes Amulett
charms2|Serpent's Sigil|Käärmeen Merkki|Selo da Serpente|Сигил Змеи|蛇的印章|蛇のシジル|뱀의 문장|Schlangensiegel
charms3|Crimson Grand Charm|Verenpunainen Suurtaikakalu|Grande Talismã Carmesim|Большой багровый талисман|大猩红挂坠|真紅の大守り|크림슨 그랜드 부적|Blutrotes Großamulett
charms4|Coral Sigil|Korallimerkki|Selo da Coral|Коралловый талисман|珊瑚印章|サンゴのシジル|코랄 문장|Korallensiegel
charms5|Tiki Mask|Tiki Naamio|Máscara Tiki|Маска тики|提基面具|ティキのマスク|티키 마스크|Tiki-Maske
charms6|Tribal Charm|Heimotaikakalu|Talismã Tribal|Племенной талисман|部落挂坠|部族のお守り|부족 부적|Stammesamulett
charms7|Shaman's Charm|Shamaanin Taikakalu|Talismã do Xamã|Талисман шамана|巫师挂坠|シャーマンのお守り|샤먼의 부적|Schamanenamulett
charms8|Tribe Leader's Sigil|Heimojohtajan Merkki|Selo do Líder da Tribo|Знак вождя племени|部落首领的印章|部族長のシジル|부족장의 문장|Siegel des Stammesführers
charms9|Dragon Charm|Lohikäärmetaikakalu|Talismã do Dragão|Сигил Дракона|龙之挂坠|竜のお守り|용의 부적|Drachenamulett
charms10|Lucky Charm|Onnentuoja|Talismã da Sorte|Талисман удачи|幸运挂坠|幸運のお守り|행운의 부적|Glücksamulett
charms11|Foul Charm|Inhottavataikakalu|Talismã Sujo|Отвратительный талисман|邪恶挂坠|不運のお守り|더러운 부적|Fauliges Amulett
[charms_unique]||||||||
charms_unique0|Raider's Torch|Raiderin soihtu|Tocha de Raider|Факел рейдера|突袭者的火炬|レイダーのトーチ|침입자의 횃불|Raider's Torch
charms_unique1|Eye of Skadi|Skadin silmä|Olho de Skadi|Глаз Скади|斯卡迪之眼|スカジの目|스카디의 눈|Auge von Skadi
charms_unique2|Apple of Evolution|Evoluutio-Omena|Maçã da Evolução|Яблоко Эволюции|进化的苹果|進化のリンゴ|진화의 사과|Apfel der Evolution
charms_unique3|Moonshard|Kuunsirpale|Fragmento da Lua|Осколок Луны|银月之晶|ムーンシャード|문샤드|Mondsplitter
charms_unique4|Solar Charm|Auringon taikakalu|Talismã Solar|Солнечный Оберег|太阳之符|太陽のお守り|해의 부적|Sonnenamulett
charms_unique5|Aztec Coin|Azteekkikolikko|Moeda Asteca|Ацтекская Монета|阿兹特克硬币|アステカのコイン|아즈테크 동전|Aztekische Münze
charms_unique6|Beetle of Life|Elämän torakka|Besouro da Vida|Жук Жизни|生命甲壳虫|生命の甲虫|삶의 딱정벌레|Käfer des Lichts
charms_unique7|Tal's Deathskull|Talin kuolonkallo|Caveira da Morte de Tal|Череп Тала|塔尔的死亡骷髅|タルのデススカル|탈의 죽음의 해골|Tals Todesschädel
charms_unique8|Gurag's Heart Charm|Guragin sydän taikakalu|Amuleto do Coração de Gurag|Амулет сердца Гурага|古拉格的心咒|グラグのハートチャーム|구라 그의 심장 부적|Gurags Herzzauber
charms_unique9|Anubis' Ankh Charm|Anubisin ankhi taikakalu|Encanto ankh de Anúbis|Анкх амулет анубиса|阿努比斯的安赫魅力|アヌビスのアンクチャーム|아누비스의 앙크 매력|Anubis 'Ankh-Charme
charms_unique10|Damien's Cage|Damienin häkki|Jaula de Damien|Клетка Дэмиена|达米恩的笼子|デイミアンの檻|데미안의 철장|Damiens Käfig
charms_unique11|Satan's Chalice|Saatanan pikari|Cálice de Satã|Чаша Сатаны|撒旦的酒杯|サタンの杯|사탄의 성배|Satans Kelch
charms_unique12|Hello its me, Steve!|Hei se ois Teemu!|Olá, sou eu, Steve!|Привет, это я, Стив!|你好，史蒂夫，是我!|こんにちは。僕だよ、スティーブ！|저예요, 스티브!|Hallo ich bin's, Steve!
charms_unique13|Redneck's Keychain|Punaniskan avainnippu|Chaveiro do Camponês|Брелок Деревенщины|红脖子的钥匙链|レッドネックのキーチェーン|레드넥의 키체인|Redneck-Schlüsselanhänger
charms_unique14|Pirate Captain's Flag|Merirosvokapteenin lippu|Bandeira do Capitão Pirata|Пиратский Флаг|海盗船长的旗帜|海賊船長の旗|해적 대위의 깃발|Flagge des Piratenkapitäns
charms_unique15|Death Lord's Zombie Head|Kuolemanherran Zombipää|Cabeça Zumbi do Senhor da Guerra|Голова Зомби Владыки Смерти|死神的僵尸头颅|デス・ロードのゾンビ頭|죽음의 신의 좀비 머리|Zombiekopf des Todeslords
charms_unique16|Marksman's Quiver|Jousimiehen viini|Aljava do Atirador|Колчан Стрелка|射手的箭袋|マークスマンのクワイバー|명사수의 전율|Köcher des Marksman
charms_unique17|Wind Token|Tuulirahake|Token de Vento|Сигил Ветра|风令牌|風のトークン|바람 토큰|Wind-Token
charms_unique18|Doctor's Mask in a Jar|Tohtorin Naamio Purkissa|Máscara do Médico em um Frasco|Маска Доктора в банке|医生的面具在罐子里|壺の中のドクターズマスク|항아리에 든 의사의 가면|Doktormaske im Glas
charms_unique19|Heart of Agony|Tuskan Sydän|Coração de Agonia|Сердце Агонии|心的痛苦|苦悩の心臓|고뇌의 심장|Herz des Schmerzes
charms_unique20|Aztec Devil|Atsteekkipiru|Diabo Asteca|Ацтекский Дьявол|爱捷特魔鬼|アズテックデビル|아즈텍 악마|Aztekenteufel
charms_unique21|Sacred Owl|Pyhä Pöllö|Coruja Sagrada|Священная Сова|神圣的猫头鹰|聖なるフクロウ|신성한 올빼미|Heilige Eule
charms_unique22|Flaming Coin|Liekehtivä Kolikko|Moeda Flamejante|Пылающая Монета|燃烧的硬币|炎のコイン|불타는 동전|Brennende Münze
charms_unique23|Wasteland Sigil|Autiomaamerkki|Sigilo da Terra Inculta|Оберег Пустоши|荒地魔符|荒れ地のシギル|황무지 도장|Siegel der Einöde
charms_unique24|Torch of Shadows|Varjosoihtu|Tocha das Sombras|Факел Теней|火炬的阴影|影のトーチ|그림자의 횃불|Fackel der Schatten
charms_unique25|Traveler's Map Journal|Matkustajan Karttakirja|Diário do mapa do viajante|Журнал Путешественника|旅行者地图杂志|トラベラーズマップジャーナル|여행자지도 일지|Reisejournal
charms_unique26|Engineer's Mini Drone|Insinöörin Minilennokki|mini drone do engenheiro|Мини-дрон инженера|引擎的迷你无人机|エンジンのミニドローン|enginee의 미니 드론|Enginees Mini-Drohne
charms_unique27|Zealot's Beads of Destruction|Kiihkoilijan Tuhon Rukousnauha|Contas de Destruição do Fanático|Чётки Разрушения Фанатика|狂热者的毁灭珠|ジーロットの破壊のビーズ|질럿의 파괴의 구슬|Zelotenperlen der Zerstörung
charms_unique28|Bone Conjurer's Trophy|Luuvelhon Voitonmerkki|Troféu de mágico de ossos|Трофей Заклинателя Костей|骨魔术师的奖杯|ボーンコンジュラーのトロフィー|뼈 마법사의 트로피|Knochenbeschwörer-Trophäe
charms_unique29|Champion's Signet|Sotamestarin Sinetti|Signet do Campeão|Печатка Чемпиона|冠军的徽记|チャンピオンのシグネット|챔피언의 인장|Siegel des Champions
charms_unique30|Plunderer's Gunpowder Bag|Laivojenupottajan Ruutipussi|Saco de pólvora de saqueador|Мешочек Пороха Расхитительницы|掠夺者的火药袋|プランダラの火薬バッグ|약탈자의 화약 가방|Schießpulverbeutel des Plünderers
charms_unique31|Fulgurite|Fulgurite|Fulgurite|Fulgurite|Fulgurite|Fulgurite|Fulgurite|Fulgurite
charms_unique32|Loaded Dice|Loaded Dice|Loaded Dice|Loaded Dice|Loaded Dice|Loaded Dice|Loaded Dice|Loaded Dice
charms_unique33|Annihilus|Annihilus|Annihilus|Annihilus|Annihilus|Annihilus|Annihilus|Annihilus
charms_unique34|Bag of Unknown Riches |Bag of Unknown Riches |Bag of Unknown Riches |Bag of Unknown Riches |Bag of Unknown Riches |Bag of Unknown Riches |Bag of Unknown Riches |Bag of Unknown Riches 
charms_unique35|Spine Trophy|Spine Trophy|Spine Trophy|Spine Trophy|Spine Trophy|Spine Trophy|Spine Trophy|Spine Trophy
charms_unique36|Angelic Key|Angelic Key|Angelic Key|Angelic Key|Angelic Key|Angelic Key|Angelic Key|Angelic Key
charms_unique37|Hametsu's Box|Hametsun laatikko|Caixa de Hametsu|Hametsu's Box|滨越的盒子|羽根津の箱|Hametsu's Box|Hametsus Box
charms_unique38|Cold Giant's Charm|Kylmän jättiläisen viehätysvoima|O Encanto do Gigante Frio|Cold Giant's Charm|寒冷巨人的魅力|冷たい巨人の魅力|Cold Giant's Charm|Der Charme des kalten Riesen
charms_unique39|Jack's Pumpkin Spice|Jackin kurpitsamauste|Tempero de Abóbora de Jack|Jack's Pumpkin Spice|杰克的南瓜香精|ジャックのパンプキンスパイス|Jack's Pumpkin Spice|Jacks Kürbisgewürz
charms_unique40|Lunar Charm|Lunar Charm|Encanto Lunar|Lunar Charm|月亮的魅力|ルナチャーム|Lunar Charm|Mondschein-Charme
charms_unique41|Forge Soldier's Badge|Forge-sotilaan merkki|Crachá do Soldado da Forja|Forge Soldier's Badge|锻造士兵的徽章|フォージ戦士のバッジ|Forge Soldier's Badge|Abzeichen des Schmiedesoldaten
charms_unique42|Shrunken Head|Kutistunut pää|Cabeça encolhida|Shrunken Head|缩头乌龟|シュランケンヘッド|Shrunken Head|Schrumpfkopf
charms_unique43|Lost Sun Dial|Kadonnut aurinko Dial|Discagem Sol Perdido|Lost Sun Dial|丢失的太阳盘|ロストサンダイヤル|Lost Sun Dial|Verlorenes Sonnenrad
charms_unique44|Tarethiel's Ancient Wisdom|Tarethiel's Ancient Wisdom|Tarethiel's Ancient Wisdom|Tarethiel's Ancient Wisdom|Tarethiel's Ancient Wisdom|Tarethiel's Ancient Wisdom|Tarethiel's Ancient Wisdom|Tarethiel's Ancient Wisdom
charms_unique45|Sheep King’s Wool|Sheep King’s Wool|Sheep King’s Wool|Sheep King’s Wool|Sheep King’s Wool|Sheep King’s Wool|Sheep King’s Wool|Sheep King’s Wool
charms_unique46|Melee C|Melee C|Melee C|Melee C|C级混乱之石|Melee C|Melee C|Melee C
charms_unique47|Melee A|Melee A|Melee A|Melee A|A级混乱之石|Melee A|Melee A|Melee A
charms_unique48|Melee S|Melee S|Melee S|Melee S|S级混乱之石|Melee S|Melee S|Melee S
charms_unique49|Caster C|Caster C|Caster C|Caster C|C级铸工饰品|Caster C|Caster C|Caster C
charms_unique50|Caster A|Caster A|Caster A|Caster A|A级铸工饰品|Caster A|Caster A|Caster A
charms_unique51|Caster S|Caster S|Caster S|Caster S|S级铸工饰品|Caster S|Caster S|Caster S
charms_unique52|Ranged C|Ranged C|Ranged C|Ranged C|C级漫游饰品|Ranged C|Ranged C|Ranged C
charms_unique53|Ranged A|Ranged A|Ranged A|Ranged A|A级漫游饰品|Ranged A|Ranged A|Ranged A
charms_unique54|Ranged S|Ranged S|Ranged S|Ranged S|S级漫游饰品|Ranged S|Ranged S|Ranged S
charms_unique55|Thorns C|Thorns C|Thorns C|Thorns C|C级荆棘饰品|Thorns C|Thorns C|Thorns C
charms_unique56|Thorns A|Thorns A|Thorns A|Thorns A|A级荆棘饰品|Thorns A|Thorns A|Thorns A
charms_unique57|Thorns S|Thorns S|Thorns S|Thorns S|S级荆棘饰品|Thorns S|Thorns S|Thorns S
charms_unique58|Tank C|Tank C|Tank C|Tank C|C级坦克勋章|Tank C|Tank C|Tank C
charms_unique59|Tank A|Tank A|Tank A|Tank A|A级坦克勋章|Tank A|Tank A|Tank A
charms_unique60|Tank S|Tank S|Tank S|Tank S|S级坦克勋章|Tank S|Tank S|Tank S
charms_unique61|Canopic Jar of the Blood God|||||||
charms_unique62|Sundial of Ancient Worlds|||||||
[shields]||||||||
shields0|Wooden Shield|Puinen kilpi|Escudo de madeira|Wooden Shield|木质盾牌|木製シールド|Wooden Shield|Hölzerner Schild
shields1|Round Shield|Pyöreä kilpi|Escudo redondo|Round Shield|圆盾|ラウンドシールド|Round Shield|Rundschild
shields2|Luna|Luna|Luna|Luna|月亮|ルナ|Luna|Luna
shields3|Steel Ward|Teräsosasto|Ala de Aço|Steel Ward|钢结构病房|スティールワード|Steel Ward|Stahlstation
shields4|Metal Shield|Metallikilpi|Escudo metálico|Metal Shield|金属盾牌|メタルシールド|Metal Shield|Metall-Schild
shields5|Rusted Ward|Rusted Ward|Ala enferrujada|Rusted Ward|锈迹斑斑的病房|ラステッド・ワード|Rusted Ward|Verrostete Station
shields6|Bone Shield|Luukilpi|Escudo ósseo|Bone Shield|骨骼盾牌|ボーンシールド|Bone Shield|Knochenschild
shields7|Barbed Shield|Piikkikilpi|Escudo Farpado|Barbed Shield|带刺盾牌|バーブシールド|Barbed Shield|Stacheldraht-Schild
shields8|Gothic Shield|Goottilainen kilpi|Escudo gótico|Gothic Shield|哥特式盾牌|ゴシックシールド|Gothic Shield|Gotischer Schild
shields9|Monarch|Monarch|Monarca|Monarch|君主|モナーク|Monarch|Monarch
shields10|Kite Shield|Leijan kilpi|Escudo para pipas|Kite Shield|风筝盾牌|カイトシールド|Kite Shield|Drachen-Schild
shields11|Dragon Shield|Lohikäärmeen kilpi|Escudo do Dragão|Dragon Shield|龙盾|ドラゴンシールド|Dragon Shield|Drachen-Schild
shields12|Buckler|Buckler|Buckler|Buckler|龅牙虫|バックラー|Buckler|Buckler
shields13|Heater|Lämmitin|Aquecedor|Heater|暖气片|ヒーター|Heater|Heizgerät
shields14|Defender|Puolustaja|Defensor|Defender|捍卫者|ディフェンダー|Defender|Verteidiger
shields15|Recruit's Defender|Recruit's Defender|Recruit's Defender|Recruit's Defender|Recruit's Defender|Recruit's Defender|Recruit's Defender|Recruit's Defender
[shields_unique]||||||||
shields_unique0|Ancient Aegis|Muinainen Suoja|Égide Antiga|Эгида Древних|古代羊皮盾|古代のアイギス|고대 이지스 방패|Uralte Ägis
shields_unique1|Tombstone|Hautakivi|Lápide|Надгробие|墓碑|墓石|묘비|Grabstein
shields_unique2|Rift Eye|Repeämäsilmä|Olho de Fenda|Око Разлома|裂眼|裂けた目|부서진 눈|Rissauge
shields_unique3|Demon's Mirror|Demonin Peili|Espelho do Demônio|Зеркало Демона|恶魔之镜|デーモンの鑑|악마의 거울|Dämonenspiegel
shields_unique4|The Templar|Temppeliherra|O Templário|Тамплиер|圣殿骑士|テンプル騎士団|템플러|Der Templer
shields_unique5|Lancer's Wall|Kilpiseivästäjän Seinä|Parede do Lanceiro|Стена Копейщика|骑士之盾|ランサーの壁|렌서의 벽|Lanzenträgerwall
shields_unique6|Blood Ward|Verisuoja|Proteção de Sangue|Щит Крови|誓死保卫|血のワード|피 묻은 방패|Blutschutz
shields_unique7|Shadow Buckler|Varjokilpi|Broquel das Sombras|Щит Теней|阴影圆盾|影の円盾|그림자 방패|Schattenfaustschild
shields_unique8|Thor's Battle Shield|Odinin Taistelukilpi|Escudo de Batalha de Odin|Щит Одина|奥丁的战斗盾牌|オーディンのバトル・シールド|오딘의 전투 방패|Odins Kampfschild
shields_unique9|SUOMI FINLAND PERKELE|SUOMI FINLAND PERKELE|SUOMI FINLAND PERKELE|ФИНСКИЙ ПЕРКЕЛЕ|苏米·芬尼·佩尔凯莱|スオミ・フィンランド・ペルケレ|핀란드 악마 수오미|SUOMI FINNLAND PERKELE
shields_unique10|Den Glider In|Den Glider In|Den Glider In|Den Glider In|登·格莱德·音|デン・グリデル・イン|던전 입장|Den Glider In
shields_unique11|Gladiator's Wall|Gladiaattorin Seinä|Muralha do Gladiador|Щит Гладиатора|角斗士的墙|グラディエーターの壁|글라디에이터의 벽|Gladiatorenwand
shields_unique12|Sacred Aegis|Pyhäsuoja|Égide Sagrada|Священная Эгида|神圣的庇护|聖なるイージス|신성한 방패|Heiliger Aegis
shields_unique13|Aztec Ward|Atsteekkisuoja|Proteção Asteca|Ацтекский щит|爱捷特病房|アズテックウォード|아즈텍 병실|Station des Azteken
shields_unique14|Ward of Toxicity|Myrkyllisyyden Suoja|Proteção de Toxicidade|Щит Яда|毒性病房|毒性のウォード|독성의 병실|Station der Toxizität
shields_unique15|The Wind's Crescent|Tuulen Sirppi|O Crescente do Vento|Щит Ветров|风的新月|風の三日月|바람의 초승달|Halbmond des Windes
shields_unique16|Plague Aegis|Ruttosuoja|Égide da Praga|Щит Чумы|瘟疫宙斯盾|プレグイージス|전염병 방패|Pest-Aegis
shields_unique17|Storm Gladiator's Wall|Myrskygladiaattorin Seinä|Muralha do Gladiador Tempestuoso|Щит Бури Гладиатора|风暴角斗士的墙|ストームグラディエーターの壁|스톰 글라디에이터의 벽|Wand des Sturmgladiators
shields_unique18|Thunder Lord's Aegis|Ukkosenherran Turva|Égide do Senhor do Trovão|Эгида Повелителя Грома|雷神的庇护|サンダーロードのイージス|천둥 군주의 방패|Aegis des Donnerlords
shields_unique19|Crystal Infused Shield|Kristallivalettu kilpi|Escudo Infundido de Cristal|Кристаллический Щит|水晶灌注盾|クリスタル注入シールド|수정이 주입 된 방패|Kristallinfundierter Schild
shields_unique20|Vagabond's Ward|Kiertolaisen Suoja|Enfermaria de Vagabundo|Щит Скитальца|流浪者的守卫|バガボンドの病棟|방랑자의 와드|Vagabonds Gemeinde
shields_unique21|Flame Diviner's Ward|Tuliennustajan Suoja|Enfermaria do Divinador da Chama|Щит Прорицателя|烈焰神谕者的守卫|炎占い師の病棟|화염 점쟁이의 와드|Flammenwahrnehmerstation
shields_unique22|Justiciar's Thunder Wall|Oikeuttajan Ukkosseinä|Parede de trovão do juiz de justiça|Барьер Молний Праведного|正义的雷霆墙|司法長官の雷壁|justiciar의 천둥 벽|Die Donnerwand des Justiziar
shields_unique23|Shield Bearer's Wall|Kilvenkäyttäjän Seinä|Parede do Portador do Escudo|Ростовой Щит Щитоносца|盾牌承载者之墙|シールドベアラーの壁|방패 무기명의 벽|Schildträgerwand
shields_unique24|Valkyrie's Battle Shield|Valkyrie's Battle Shield|Valkyrie's Battle Shield|Боевой Щит Валькирии|Valkyrie's Battle Shield|Valkyrie's Battle Shield|Valkyrie's Battle Shield|Valkyrie's Battle Shield
shields_unique25|Elemental Ward|Elemental Ward|Elemental Ward|Элементальный Щит|Elemental Ward|Elemental Ward|Elemental Ward|Elemental Ward
shields_unique26|Gem Encrusted Tower Shield|Gem Encrusted Tower Shield|Gem Encrusted Tower Shield|Ростовой Щит Удачи|Gem Encrusted Tower Shield|Gem Encrusted Tower Shield|Gem Encrusted Tower Shield|Gem Encrusted Tower Shield
shields_unique27|Infection Ward|Infection Ward|Infection Ward|Infection Ward|Infection Ward|Infection Ward|Infection Ward|Infection Ward
shields_unique28|Iron Giants Shield|Rautajättiläisten kilpi|Escudo de ferro Giants Shield|Iron Giants Shield|铁巨人盾牌|鉄の巨人の盾|Iron Giants Shield|Eisen-Riesen-Schild
shields_unique29|St. Tomi's Vibrant Aura|Pyhän Tomin elinvoimainen aura|Aura Vibrante de São Tomé e Príncipe|St. Tomi's Vibrant Aura|圣托米的充满活力的光环|セント・トーマスの元気なオーラ|St. Tomi's Vibrant Aura|Die vibrierende Aura von St. Tomi
shields_unique30|Defender's Justice|Puolustajan oikeus|A Justiça do Defensor|Defender's Justice|捍卫者的正义|ディフェンダーズ・ジャスティス|Defender's Justice|Gerechtigkeit des Verteidigers
shields_unique31|Shield of the Abyss|Abyssin kilpi|Escudo do Abismo|Shield of the Abyss|深渊之盾|シールド・オブ・ジ・アビス|Shield of the Abyss|Schild des Abgrunds
shields_unique32|Mirror of Flesh|Lihan peili|Espelho de Carne|Mirror of Flesh|肉体之镜|肉体の鏡|Mirror of Flesh|Spiegel des Fleisches
shields_unique33|Hallgar's Dreadful Wall|Hallgarin kammottava seinä|A parede horrível da Hallgar|Hallgar's Dreadful Wall|霍尔加的可怕的墙|Hallgar's Dreadful Wall|Hallgar's Dreadful Wall|Hallgars Schreckenswand
shields_unique34|Order of the Knights Shield|Ritarikunnan kilpi|Ordem do Escudo dos Cavaleiros|Order of the Knights Shield|骑士盾牌勋章|騎士団の盾|Order of the Knights Shield|Orden des Ritterschildes
shields_unique35|Ward of Blood|Veren osasto|Ala de Sangue|Ward of Blood|血的病房|ウォード オブ ブラッド|Ward of Blood|Station des Blutes
shields_unique36|Winter's Defender|Talven puolustaja|Defensor do inverno|Winter's Defender|冬天的卫士|ウィンターズ・ディフェンダー|Winter's Defender|Beschützer des Winters
shields_unique37|Novice's Tower|Noviisin torni|Torre do noviço|Novice's Tower|新手之塔|ノービス・タワー|Novice's Tower|Novizen-Turm
shields_unique38|King's Tower Shield|Kuninkaan tornin kilpi|Escudo da Torre do Rei|King's Tower Shield|国王之塔盾牌|キングス・タワー・シールド|King's Tower Shield|Königsturm-Schild
shields_unique39|Investiture of Necrosis|Investiture of Necrosis|Investigação de Necrose|Investiture of Necrosis|坏死的投资|ネクロシスのインベストメント|Investiture of Necrosis|Investitur der Nekrose
shields_unique40|Heaven's Champion|Taivaan mestari|O campeão do céu|Heaven's Champion|天堂的冠军|ヘブンズ・チャンピオン|Heaven's Champion|Meister des Himmels
shields_unique41|Pitfiend's Thorn|Pitfiend's Thorn|Pitfiend's Thorn|Pitfiend's Thorn|蝮蛇之刺|ピットフィーンドのソーン|Pitfiend's Thorn|Pitfiends Dorn
shields_unique42|Authority of the Celestials|Authority of the Celestials|Authority of the Celestials|Authority of the Celestials|Authority of the Celestials|Authority of the Celestials|Authority of the Celestials|Authority of the Celestials
shields_unique43|Melee C|Melee C|Melee C|Melee C|C级混乱之镜|Melee C|Melee C|Melee C
shields_unique44|Melee A|Melee A|Melee A|Melee A|A级混乱之镜|Melee A|Melee A|Melee A
shields_unique45|Melee S|Melee S|Melee S|Melee S|S级混乱之镜|Melee S|Melee S|Melee S
shields_unique46|Caster C|Caster C|Caster C|Caster C|C级铸工盾牌|Caster C|Caster C|Caster C
shields_unique47|Caster A|Caster A|Caster A|Caster A|A级铸工盾牌|Caster A|Caster A|Caster A
shields_unique48|Caster S|Caster S|Caster S|Caster S|S级铸工盾牌|Caster S|Caster S|Caster S
shields_unique49|Ranged C|Ranged C|Ranged C|Ranged C|C级漫游盾牌|Ranged C|Ranged C|Ranged C
shields_unique50|Ranged A|Ranged A|Ranged A|Ranged A|A级漫游盾牌|Ranged A|Ranged A|Ranged A
shields_unique51|Ranged S|Ranged S|Ranged S|Ranged S|S级漫游盾牌|Ranged S|Ranged S|Ranged S
shields_unique52|Thorns C|Thorns C|Thorns C|Thorns C|C级荆棘盾牌|Thorns C|Thorns C|Thorns C
shields_unique53|Thorns A|Thorns A|Thorns A|Thorns A|A级荆棘盾牌|Thorns A|Thorns A|Thorns A
shields_unique54|Thorns S|Thorns S|Thorns S|Thorns S|S级荆棘盾牌|Thorns S|Thorns S|Thorns S
shields_unique55|Tank C|Tank C|Tank C|Tank C|C级坦克盾牌|Tank C|Tank C|Tank C
shields_unique56|Tank A|Tank A|Tank A|Tank A|A级坦克盾牌|Tank A|Tank A|Tank A
shields_unique57|Tank S|Tank S|Tank S|Tank S|S级坦克盾牌|Tank S|Tank S|Tank S
[rings]||||||||
rings0|Rugged Ring|Karu Sormus|Anel Robusto|Простое кольцо|结实的环|頑丈な指輪|견고한 반지|Schroffer Ring
rings1|Steel Band|Teräsnauha|Fita de Aço|Стальное кольцо|钢带|スチールバンド|강철 밴드|Stahlband
rings2|Mystic Circlet|Mystinen Nauha|Anel Místico|Мистический браслет|神秘的戒指|ミスティックサークレット|신비로운 관|Mystischer Kreis
rings3|Skeleton Ring|Luurankosormus|Anel de Esqueleto|Костяное кольцо|骨架环|スケルトンリング|스켈레톤 반지|Skelettring
rings4|Demon Eye|Demonin Silmä|Olho de Demônio|Глаз демона|恶魔的眼睛|悪魔の目|악마의 눈|Dämonenauge
rings5|Celtic Ring|Kelttisormus|Anel Celta|Кольцо кельтов|凯尔特人环|ケルトリング|켈트 반지|Keltischer Ring
rings6|Metal Ring|Rautasormus|Anel de Metal|Металлическое кольцо|金属环|メタルリング|금속 반지|Metallring
rings7|Golden Ring|Kultasormus|Anel Dourado|Золотое кольцо|金戒指|ゴールデンリング|금 반지|Goldring
[rings_unique]||||||||
rings_unique0|Ra's Band|Ran Nauha|Faixa de Ra|Кольцо Ра|Ra的乐队|ラーのバンド|라의 밴드|Ras Band
rings_unique1|Molten Ring|Sulanut sormus|Anel Fundido|Расплавленное Кольцо|熔化的环|モルテンリング|녹은 반지|Geschmolzener Ring
rings_unique2|Dragonsteel Ring|Lohikäärmeterässormus|Anel de Aço de Dragão|Кольцо из драконьей стали|龙钢环|ドラゴンスチールリング|드래곤스틸 반지|Drachenstahlring
rings_unique3|Gem of Jordan|Jordanin Jalokivi|Gema da Jordânia|Жемчужина Джордана|约旦珠宝|ヨルダンの宝石|요르단의 보석|Edelstein des Jordan
rings_unique4|Khodo's Wedding Band|Khodon Vihkisormus|Aliança de Khodo|Обручальное кольцо Ходо|Khodo的婚礼乐队|コドのウェディングバンド|코도의 결혼 반지|Ehering des Khodo
rings_unique5|Demon Eye Ring|Pirunsilmäsormus|Anel de Olho de Demônio|Око Демона|恶魔的眼环|悪魔の目のリング|스켈레톤 반지|Dämonenaugering
rings_unique6|Satanic Eye|Saatanallinen Silmä|Olho Satânico|Сатанический Глаз|邪恶的眼睛|魔王の目|스켈레톤 반지|Satanisches Auge
rings_unique7|Giant's Band of Strength|Jättiläisen Voimasormus|Banda de Força do Gigante|Кольцо Cилы Титана|巨人的力量带|ジャイアントの強さのバンド|거인의 힘의 고리|Riesenband der Stärke
rings_unique8|Iron Ring of Prometheus|Prometheuksen rautarengas|Anel de Ferro da Prometheus|Iron Ring of Prometheus|普罗米修斯的铁环|プロメテウスの鉄輪|Iron Ring of Prometheus|Eiserner Ring des Prometheus
rings_unique9|St. Devlin's Eternal Grace|Pyhän Devlinin ikuinen armo|A Eterna Graça de São Devlin|St. Devlin's Eternal Grace|圣德弗林的永恒恩典|St.デブリンのエターナル・グレイス|St. Devlin's Eternal Grace|St. Devlins Ewige Gnade
rings_unique10|Lucky Loop|Lucky Loop|Lucky Loop|Lucky Loop|幸运循环|ラッキーループ|Lucky Loop|Glücksschleife
rings_unique11|Quickening Zephyr|Pikavauhtia Zephyr|Zephyr de aceleração|Quickening Zephyr|快捷的紫云英|クイックニングゼファー|Quickening Zephyr|Zephir beschleunigen
