[main_menu]|en|fi|pt|ru|zh|ja|ko|de
[shop]||||||||
clothing|Clothing|Vaatteet|Roupas|Одежда|服装|衣装|복장|Bekleidung
minion|Mercenary|Palkkasoturi|Mercenário|Наемник|部下|ミニオン（部下）|부하|Söldner
active|Active|Aktiivinen|Ativo|Активный|活跃|有効|활성화|Aktiv
passive|Passive|Passiivinen|Passivo|Пассивный|被动|パッシブ|패시브|Passiv
name_color|Name color|Nimen väri|Cor do nome|Цвет имени|名字颜色|名前の色|이름 색깔|Namensfarbe
exit_shop|Exit shop|Poistu kaupasta|Sair da loja|Выйти|退出商店|ショップから出る|상점에서 나가기|Shop verlassen
melee|Melee|Lähitaistelu|Corpo a corpo|Ближний Бой|近战|近接|근접|Nahkampf
ranged|Ranged|Kaukotaistelu|Longo alcance|Дальний Бой|远程|遠隔|원거리|Fernkampf
name|Name|Nimi|Nome|Имя|名字|名前|이름|Bennenen
use|use|käytä|Usar|использовать|使用|使用|사용|nutzen
choose_portrait|Portrait|Valitse kuvake|Retrato|Портрет|肖像|ポートレート|초상화|Porträt
hud|Interface|Käyttöliittymä|Interface|Интерфейс|界面|インターフェース|상호 작용|Interface
not_enough_rubies|not enough rubies|ei tarpeeksi rubiineja|Não a bastante rubis|недостаточно Рубинов|红宝石不足|ルビーが足りない|루비가 부족합니다|zu wenig Rubine
not_enough_crystals|not enough crystals|ei tarpeeksi kristalleja|Cristais insuficientes|недостаточно Кристаллов|水晶不足|クリスタルが足りない|크리스탈이 부족합니다|zu wenig Kristalle
not_enough_gold|Not enough gold. You need|Ei tarpeeksi kultaa. Tarvitset|Ouro insuficiente. Você precisa de|Недостаточно Золота. Вам нужно|黄金不足。你需要|ゴールドが足りません。あと _ 必要です|골드가 충분하지 않습니다. ___만큼이 더 필요합니다.|Nicht genug Gold. Du brauchst
coins_to_reset_talents|coins to reset talents.|kultaa palauttaaksesi taitosi.|moedas para resetar os talentos.|монет для сброса талантов.|才能重新设定角色技能。|タレントをリセットするまで _ 枚のコイン|재능을 리셋하는데 ___만큼의 코인이 필요합니다.|Münzen, um die Talente zurückzusetzen.
coins_to_rename|coins to rename.|kultaa uudelleennimetäksesi.|coins to rename.|coins to rename.|coins to rename.|coins to rename.|coins to rename.|Münzen um dich umzubenennen.
saving_shop|Saving shop...|Tallennetaan kauppaa...|Salvando a loja...|Сохранение изменений...|保存商店...|ショップを保存しています...|상점 저장 중...|Speichern...
unlocked|Unlocked|Avattu|Desbloqueado|Разблокировано|已解锁|ロックが解除された|잠금 해제|Entsperrt
unlock|Unlock|Avaa|Desbloquear|Разблокировать|开锁|ロック解除|터놓다|Freischalten
lock|Lock|Lukitse|Lock|Lock|Lock|Lock|Lock|Sperren
buy_key|Buy Key|Osta Avain|Chave de Compra|Купить Ключ|购买密钥|キーを購入|구매 키|Schlüssel Kaufen
requires_hero_level|Requires Hero Level|Vaatii sankaritason|Requer Nível Herói|Требуется Уровень Героев|需要英雄等级|ヒーローレベルが必要|필요한 영웅 레벨|Benötigt Helden-Level
halloween|Halloween|Halloween|Halloween|Хэллоуин|万圣节|ハロウィーン|할로윈|Halloween
christmas|Christmas|Joulu|Natal|Рождество|圣诞节|クリスマス|크리스마스|Weihnachten
reward|Reward|palkinto|Recompensa|Награда|报酬|報酬|보상|Belohnung
easter_egg|Shh... It's a secret.|Shh... Se on salaisuus.|Shh... É um segredo.|Тсс... Это секрет.|嘘...它是个秘密。|シーっ...これは秘密です。|쉿... 이건 비밀이야.|Shh... Es ist ein Geheimnis.
featured|Featured|Esittelyssä|Destacado|Рекомендуем|特征|注目の|추천|Vorgestellt
accessories|Accessories|Lisävarusteet|Acessórios|Аксессуары|配件|アクセサリー|액세서리|Zubehör
items|Items|Esineet|Itens|Предметы|项目|アイテム|아이템|Gegenstände
gems|Gems|Jalokivet|Gemas|Самоцветы|宝石|宝石|보석|Edelsteine
locked|Locked|Lukittu|Trancado|Заблокировано|锁着的|ロック済み|잠김|Gesperrt
deactivate|Deactivate|Deaktivoi|Desativar|Деактивировать|禁用|無効化|비활성화|Deaktivieren
purchase|Purchase|Osta|Compra|Купить|购买|購入|구매|Kaufen
hats|Hats|Hatut|Chapéus|Шляпы|帽子|帽子|모자|Hüte
basic|Basic|Perus|Básico|Базовые|基本|ベーシック|기본|Basis
anniversary|Anniversary|Vuosipäivä|Aniversário|На Годовщину|周年纪念日|アニバーサリー|기념일|Jahrestag
skins|Skins|Ulkonäöt|Roupas|Облики|皮|スキン|스킨|Skins
hero|Hero|Sankari|Herói|Герой|英雄|ヒーロー|영웅|Held
companions|Companions|Kumppanit|Companheiros|Компаньоны|同伴|仲間|동반자|Gefährten
equip_ingame|This item can be equipped after choosing a character|Tämä esine voidaan pukea hahmon valitsemisen jälkeen|Este item pode ser equipado após escolher um personagem|Этот предмет можно надеть после выбора персонажа.|选择角色后即可装备|このアイテムはキャラクターを選択した後に装備することができます|이 아이템은 캐릭터 선택 후 착용 가능합니다.|Dieser Gegenstand kann nach Auswahl eines Charakters ausgerüstet werden
equip_not_compatible|This item isn't compatible with your current equipment|Tämä tuote ei ole yhteensopiva nykyisten varusteidesi kanssa|Este item não é compatível com seu equipamento atual|Этот предмет несовместим с вашим текущим снаряжением|此项与您当前的设备不兼容|このアイテムは現在の機器と互換性がありません|이 항목은 현재 장비와 호환되지 않습니다.|Dieser Artikel ist nicht mit Ihrer aktuellen Ausrüstung kompatibel
season_supporter|Season Supporter|Kausitukija|Season Supporter|Спонсор Сезона|Season Supporter|Season Supporter|Season Supporter|Saison Supporter
season_supporter_explanation|Only available during the current Season|Saatavilla vain tämän kauden ajan|Only available during the current Season|Only available during the current Season|Only available during the current Season|Only available during the current Season|Only available during the current Season|Only available during the current Season
season_supporter_hint|You have: [token_count]|Sinulla on: [token_count]|You have: [token_count]|You have: [token_count]|You have: [token_count]|You have: [token_count]|You have: [token_count]|You have: [token_count]
show_owned|Show owned|Näytä omistetut|Show owned|Show owned|Show owned|Show owned|Show owned|Show owned
show_locked|Show locked|Näytä lukitut|Show locked|Show locked|Show locked|Show locked|Show locked|Show locked
show_all_skins|Show all skins|Näytä kaikki ulkonäöt|Show all skins|Show all skins|Show all skins|Show all skins|Show all skins|Show all skins
||||||||
[ingame]||||||||
stun_duration|Stun Duration|Tainnutuksen kesto|Duração do Atordoamento|Длительность Оглушения|眩晕持续时间|気絶している時間|스턴 기간|Betäubungsdauer
proc_chance|Proc Chance|Iskumahdollisuus|Chance de Proc|Шанс срабатывания|触发几率|プロク・チャンス|임의의 기회|Auslösechance
duration|Duration|Kesto|Duração|Длительность|持续时间|時間|기간|Dauer
seconds|Seconds|Sekuntia|Segundos|сек.|秒数|秒|초|Sekunden
second|Second|Sekunti|Segundo|сек.|秒数|秒|초|Sekunde
aura|Aura|Aura|Aura|Аура|光环|オーラ|영기|Aura
slow_duration|Slow Duration|Hidastuksen kesto|Duração Lenta|Длительность Замедления|减少持续时间|遅い期間|슬로우 기간|Verlangsamungsdauer
absorption|Absorption|Imeytyminen|Absorção|Поглощение|吸收|吸収|흡수|Absorption
offensive_skills|Offensive Abilities|Hyökkäystaidot|Habilidades Ofensivas|Навыки нападения|进攻技能|攻撃スキル|공격 스킬|Offensive Fähigkeiten
defensive_skills|Defensive Abilities|Puolustustaidot|Habilidades Defensivas|Навыки обороны|防御技能|防御スキル|방어 스킬|Defensive Fähigkeiten
magic_skills|Magic Abilities|Taikataidot|Habilidades Mágicas|Магические навыки|魔法技能|魔法スキル|마법 스킬|Magische Fähigkeiten
accept_trade|Trade Accepted|Vaihto hyväksytty|Troca Aceita|Сделка подтверждена|已接受交易|取引承認|거래 수락|Tausch akzeptiert
open_inventory|Open Inventory|Avaa reppu|Abrir Inventário|Открыть инвентарь|打开仓库|目録を開く|인벤토리 열기|Inventar Öffnen
agree|Agree|Hyväksy|Concordo|Согласен|同意|同意|동의하기|Zustimmen
close|Close|Sulje|Fechar|Закрыть|关闭|閉じる|닫기|Schließen
extra_strength|Extra Strength|Lisävoimaa|Força Extra|Дополнительная сила|额外的力量|追加ストレングス|여분의 힘|Extra-Stärke
extra_energy|Extra Energy|Lisäenergiaa|Energia Extra|Дополнительная энергия|额外的能量|追加エナジー|여분의 에너지|Extra-Energie
extra_armor|Extra Armor|Lisäsuojaa|Armadura Extra|Дополнительная броня|额外的护甲|追加アーマー|여분의 갑옷|Extra-Rüstung
extra_stamina|Extra Stamina|Lisäelämää|Vigor Extra|Дополнительная выносливость|额外的精力|追加スタミナ|여분의 스태미나|Extra-Durchhaltevermögen
healing|Healing|Parannus|Cura|Исцеление|康复|治癒|치유|Heilung
magic_resistance|Magic Resistance|Taika-vastustus|Registência Mágica|Магическое Сопротивление|魔法抗性|魔法耐性|마법 저항|Magischer Widerstand
physical_resistance|Physical Resistance|Fyysinen vastustus|Resistência Física|Физическое Сопротивление|物理抗性|物理耐性|물리적 저항|Physischer Widerstand
handed|Handed|Kätinen|Entregue|ручный|已上交|手渡されました|장비함|Händig
buyback|Buyback|Takaisinosto|Recomprar|Выкупить|回购|買い戻し|되사기|Rückkauf
stacks|Stacks|Pinoa|Pilhas|Заряды|堆|スタック|스택|Stapel
loadouts|Loadouts|Varustukset|Cargas|Наборы экипировки|装备栏|装備|로드 아웃|Ausrüstungen
gem_pouch|Gem Pouch|Riimupussi|Bolsa de Gemas|Мешочек с самоцветами|宝石袋|宝石ポーチ|보석 파우치|Edelsteintasche
seed_pouch|Seed Pouch|Siemenpussi|Bolsa de Sementes|Мешочек с семенами|种子小袋|シードポーチ|씨 파우치|Samentasche
key_ring|Key Ring|Avainnippu|Key Ring|Key Ring|Key Ring|Key Ring|Key Ring|Key Ring
rune|Rune|Riimu|Runa|Руна|符文|ルーン|룬 문자|Rune
minion_inventory|Mercenary|Palkkasoturi|Mercenário|Наемник|雇佣兵|傭兵|용병|Söldner
speak|Speak|Puhu|Falar|Говорить|说|話す|말하기|Sprechen
sell|Sell|Myy|Vender|Продать|卖|売る|팔기|Verkaufen
sell_all|Sell All|Myy kaikki|Vender Tudo|Продать всё|出售所有|すべて売却|전부 팔기|Alles verkaufen
browse|Browse|Selaa|Procurar|Просмотреть|浏览|拾い読み|장비 보기|Stöbern
inspect|Inspect|Tutki|Inspecionar|Осмотреть|检查|詳しく調べる|비교|Inspizieren
drop|Drop|Pudota|Dropar|Выбросить|丢弃|落とす|떨어뜨리기|Droppen
equip|Equip|Pue|Equipar|Надеть|装备|装備|장착|Ausrüsten
stash|Stash|Pankki|Esconderijo|Тайник|存放|しまう|보관함|Truhe
retrieve|Retrieve|Palauta|Recuperar|Забрать|恢复|回復|꺼내기|Zurückholen
inventory|Inventory|Reppu|Inventario|Инвентарь|库存|インベントリー|인벤토리|Inventar
quests|Quests|Tehtävät|Missões|Задания|任务|クエスト|퀘스트|Quests
accept_quest|Accept Quest|Hyväksy tehtävä|Aceitar Missão|Взять задание|接受任务|クエストを受ける|퀘스트 수락|Quest annehmen
return_quest|Return Quest|Palauta tehtävä|Retornar Missão|Завершить задание|返回任务|クエストに戻る|퀘스트 반납|Quest abgeben
delete_quest|Delete quest|Poista tehtävä|Apagar quest|Отказаться от задания|删除任务|クエストを削除|퀘스트 삭제|Quest löschen
quest_completed|Quest completed!|Tehtävä suoritettu!|Quest completada!|Задание завершено!|任务完成！|クエスト完了！|퀘스트 완료!|Quest abgeschlossen!
destroy|Destroy|Tuhoa|Destruir|Уничтожить|毁掉|破壊する|파괴|Zerstören
upgrade|Upgrade|Päivitä|Atualizar|Улучшение|升级|アップグレード|업그레이드|Aufrüsten
unequip|Unequip|Riisu|Sem equipamentos|Снять|脱下装备|装備を取り去る|해제|Ablegen
sockets|Sockets|Paikat|Soquetes|Гнёзда|槽位|ソケット|소켓|Sockel
show_sockets|Show sockets|Näytä paikat|Show sockets|Show sockets|Show sockets|Show sockets|Show sockets|Sockel anzeigen
hide_sockets|Hide sockets|Piilota paikat|Hide sockets|Hide sockets|Hide sockets|Hide sockets|Hide sockets|Sockel verstecken
clear_socket|Clear Socket|Tyhjennä paikka|Limpar Soquete|Очистить гнёзда|清除槽位|ソケットの削除|소켓 클리어|Sockel entfernen
clear_socket_prompt|Are you sure you want to clear sockets from this item?|Oletko varma että haluat tyhjentää tämän esineen paikat?|Tem certeza de que deseja limpar os encaixes deste item?|Вы уверены, что хотите очистить гнёзда этого предмета?|您确定要清除此项目中的套接字吗?|このアイテムのソケットをクリアしますか？|정말로 이 아이템의 소켓을 지우시겠습니까?|Bist du sicher, dass du die Sockel für diesen Gegenstand entfernen willst?
magic_find|Magic Find|Löytöonni|Necrófago|Удача|搜刮者|スカベンジャー|상위 아이템 드랍 확률|Glück
damage_return|Damage Return|Vahingonpalautus|Retorno de Dano|Отражение Урона|伤害返还|ダメージ・リターン|피해량 반사|Schadensreflexion
craft|Craft|Valmista|Arte|Создать|工艺|クラフト|조합|Herstellen
crafting|Crafting|Valmistus|Criações|Создание|手工艺|クラフトしています|조합|Herstellung
random|random|satunnainen|randômico|случайный|随机的|ランダム|무작위|zufällig
merge|Merge|Yhdistä|Fundir|Объединить|合并|マージ|합치기|Verschmelzen
critical_chance|Critical Chance|Kriittinen Mahdollisuus|Chance Crítica|Шанс Критического Удара|暴击几率|クリティカル・チャンス|크리티컬 찬스|Kritische Chance
health_regen|Health Per Second|Elämää sekunnissa|Saúde Por Segundo|Восстановление Здоровья|每秒生命值|毎秒の体力|초당 체력|Leben pro Sekunde
mana_regen|Mana Per Second|Manaa sekunnissa|Mana Por Segundo|Восстановление Маны|每秒魔法值|毎秒のマナ|초당 마력|Mana pro Sekunde
attacks_per_second|Attacks per Second|Hyökkäystä sekunnissa|Ataques Por Segundo|Скорость Атаки|每秒攻击数|毎秒の攻撃力|초당 공격력|Attacken pro Sekunde
quality|Quality|Laatu|Qualidade|Качество|资质|性能|질|Qualität
difficulty|Difficulty|Vaikeusaste|Dificuldade|Сложность|难度|難易度|난이도|Schwierigkeit
change_difficulty|Change Difficulty|Vaihda vaikeusastetta|Alterar Dificuldade|Изменить уровень сложности|改变难度|難易度を変更|난이도 변경|ändere die Schwierigkeit
normal|normal|normaali|normal|Обычная|普通|標準|보통|Normal
nightmare|nightmare|painajainen|Pesadelo|Кошмар|噩梦|悪夢|악몽|Albtraum
hell|hell|helvetti|Inferno|Ад|地狱|地獄|지옥|Hölle
inferno|inferno|piina|Outro Mundo|Инферно|炼狱|煉獄|불지옥|Inferno
solo_rank|Solo Ranking|Yksinpelisijoitus|Ranking Solo|Соло рейтинг|单人赛排名|個人順位|솔로 랭킹|Solo-Ranking
duo_rank|Duo Ranking|Kaksinpelisijoitus|Ranking Duo|Рейтинг для двух игроков|双人赛排名|コンビ順位|듀오 랭킹|Duo-Ranking
trio_rank|Trio Ranking|Kolminpelisijoitus|Ranking Trio|Рейтинг для трех игроков|三人赛排名|トリオ順位|트리오 랭킹|Trio-Ranking
quad_rank|Quad Ranking|Nelinpelisijoitus|Ranking Quad|Рейтинг для четырех игроков|四人赛排名|4 人組順位|스쿼드 랭킹|Quad-Ranking
hero_rank|Hero Level Ranking|Sankaritasosijoitus|Ranking Nível Herói|Рейтинг по Уровню Героев|英雄等级排名|ヒーロー・レベル順位|영웅 레벨 랭킹|Heldenlevel-Ranking
common|Common|Tavallinen|Comum|Обычный|普通|普通|일반|Üblich
superior|Superior|Epätavallinen|Superior|Превосходный|卓越|優越|고급|Hochwertig
rare|Rare|Harvinainen|Raro|Редкий|稀有|レア|희귀|Selten
legendary|Legendary|Legendaarinen|Lendário|Легендарный|传奇|伝説|전설|Legendär
mythic|Mythic|Myyttinen|Mítico|Мифический|神话|神話|신화|Mythisch
angelic|Angelic|Enkeli|Agélico|Ангельский|天使的|エンジェリック|천사의|Himmlisch
satanic|Satanic|Saatanallinen|Satanico|Сатанический|恶魔|魔王|사탄|Satanisch
satanic_set|Satanic Set|Saatanallinen setti|Conjunto Satânico|Сатанический Набор|撒旦系列|サタニックセット|사탄 세트|Satanisches Set
runeword|Runeword|Riimusana|Palabra Runa|Рунное Слово|符文|ルーンワード|룬워드|Runenwort
strength|Strength|Voima|Força|Сила|力量|強さ|힘|Stärke
energy|Energy|Energia|Energy|Энергия|能量|エネルギー|에너지|Energie
armor|Armor|Suoja|Armadura|Броня|护甲|アーマー|방어력|Rüstung
stamina|Stamina|Elinvoima|Estamina|Выносливость|耐力|スタミナ|체력|Ausdauer
speed|Speed|Nopeus|Velocidade|Скорость|速度|スピード|이동 속도|Geschwindigkeit
all_stats|All Stats|Kaikkiin pisteisiin|Todas as estatísticas|Ко всем Атрибутам|全属性|すべてのスタッツ|모든 능력치|alle Statuswerte
all_talents|All Talents|Kaikkiin taitoihin|Todos os talentos|Ко всем Талантам|全天赋|すべてのタレント|모든 스킬|alle Talente
life_per_hit|Life per Hit|Elämää per isku|Vida por Ataque|Здоровья за удар|生命汲取|ライフ吸収|타격 피해량 대비 체력 회복률|Leben pro Treffer
mana_per_hit|Mana per Hit|Manaa per isku|Mana por ataque|Маны за удар|能量汲取|マナ吸収|타격 피해량 대비 마나 재생률|Mana pro Treffer
exp_gain|Exp Gain|Lisäkokemusta|Ganho de exp|Увеличение получаемого опыта|经验获取|経験値獲得|추가 경험치|Erfahrungsbonus
projectiles|Projectiles|Ammuksia|Projéteis|Снаряды|弹丸|発射物|발사체|Projektile
base_damage|Base Damage|Pohjavahinko|Dano base|Урон Базовой Атаки|基础伤害|ベースダメージ|기본 공격력|Grundschaden
damage|Damage|Vahinko|Dano|Урон|伤害|ダメージ|공격력|Schaden
health|Health|Elämä|Vida|Здоровье|生命值|ヘルス|최대 체력|Lebenspunkte
mana|Mana|Mana|Mana|Мана|魔法值|マナ|마나|Mana
max_mana|Max Mana|Maksimimana|Maximo Mana|Максимум Маны|最大能量|マックス・マナ|최대 마나|Maximales Mana
reduction|Reduction|Vähennys|Redução|Снижение Урона|豁免|免除|피해량 감소치|Reduktion
dodge|Dodge|Väistö|Desvio|Уклонение|闪避|回避|회피|Ausweichchance
block_chance|Block Chance|Torjumismahdollisuus|Chance de Bloqueio|Шанс Блока|格挡几率|ブロック・チャンス|블럭 확률|Block-Chance
attack_speed|Attack Speed|Hyökkäysnopeus|Velocidade de ataque|Скорость атаки|攻击速度|攻撃速度|공격 속도|Angriffsgeschwindigkeit
movement_speed|Movement Speed|Liikkumisnopeus|Velocidade de movimento|Скорость передвижения|移动速度|移動速度|이동 속도|Bewegungsgeschwindigkeit
level_requirement|Level Req.|Tasovaatimus|Level requirido|Требуемый уровень|等级需求|必要とするレベル|필요 레벨|Level-Anforderung
item_level|iLevel|eTaso|Nivel do Item|Уровень Предмета|物品等级|アイテムレベル|아이템 레벨|Item-Level
picked_up|Picked up|Nostettiin|Pegou|Подобран|拾取|拾った|획득|Aufgehoben
equipped|Equipped|Puettu|Equipado|Надет|已装备|装備された|장착|Ausgestattet
town_portal|Town Portal|Kyläportaali|Portal para Cidade|Портал в город|城镇传送门|タウン・ポータル|마을 포탈|Stadtportal
synergy|Synergy|Synergia|Sinergia|Синергия|协同|共働|시너지|Synergie
current_level|Current level|Nykyinen taso|Nível atual|Текущий уровень|当前等级|現在のレベル|현재 레벨|Aktuelles Level
next_level|Next level|Seuraava taso|Proximo Nível|След. уровень|下一等级|次のレベル|다음 레벨|Nächstes Level
magic_damage|Magic Damage|Taikavahinko|Dano Mágico|Магический урон|魔法伤害|魔法ダメージ|매직 데미지|Magischer Schaden
critical_damage|Critical Damage|Kriittinen vahinko|Dano Crítico|Критический урон|暴击伤害|クリティカル・ダメージ|크리티컬 데미지|Kritischer Schaden
critical_rate|Critical Rate|Kriittinen mahdollisuus|Taxa Crítica|Шанс Критического Удара|暴击率|クリティカル・レート|크리티컬 확률|Kritische Chance
max_hp|Max Health|Maksimielämä|Saúde Máxima|Максимум Здоровья|最大生命值|最大体力|최대 체력|Maximales Leben
cooldown_reduction|Cooldown Reduction|Palautumisajan vähennys|Redução de Resfriamento|Уменьшение Перезарядки|技能急速|クールダウン削減|쿨다운 시간 줄이기|Cooldown-Reduktion
hp_kill|Health After Kill|Elämää taposta|Saúde Após Matar|Здоровья за Убийство|敌人死亡获取生命值|キル後の体力|킬 후 체력|Leben nach Tötung
mana_kill|Mana After Kill|Manaa taposta|Mana Após Matar|Маны за Убийство|敌人死亡获取魔法值|キル後のマナ|킬 후 마나|Mana nach Tötung
mana_rep|Mana Per Second|Manaa per sekunti|Mana Por Segundo|Маны в секунду|每秒魔法值|毎秒のマナ|초당 마나|Mana pro Sekunde
hp_rep|Health Per Second|Elämää per sekunti|Saúde por Segundo|Здоровья в секунду|每秒生命值|毎秒の体力|초당 체력|Leben pro Sekunde
block_rate|Block Chance|Torjumismahdollisuus|Chance de Bloqueio|Шанс Блока|格挡几率|ブロック・チャンス|블럭 확률|Block-Chance
damage_reduction|Damage Reduction|Vahingon vähennys|Redução de Dano|Снижение Урона|降低伤害|ダメージ減少|데미지 줄이기|Schadensreduktion
lightning_damage|Lightning Damage|Sähkövahinko|Dano por Raio|Урон Молнией|雷电伤害|雷ダメージ|번개 데미지|Blitzschaden
fire_damage|Fire Damage|Tulivahinko|Dano por Fogo|Урон Огнем|火灵伤害|火気ダメージ|불 데미지|Feuerschaden
cold_damage|Cold Damage|Kylmävahinko|Dano por Frio|Урон Холодом|寒冷伤害|冷気ダメージ|추위 데미지|Kälteschaden
wind_damage|Wind Damage|Tuulivahinko|Dano por Ar|Урон Ветром|风灵伤害|風ダメージ|바람 데미지|Windschaden
undead_damage|Damage to Undead|Vahinkoa epäkuolleisiin|Dano aos Mortos-Vivos|Урон по Нежити|对不死族的伤害|アンデッドへのダメージ|언데드 데미지|Schaden an Untoten
demon_damage|Damage to Demons|Vahinkoa demoneihin|Dano aos Demônios|Урон по Демонам|对恶魔的伤害|デーモンへのダメージ|악마 데미지|Schaden an Dämonen
elemental_damage|Elemental Damage|Elementaalivahinko|Dano Elementar|Элементальный Урон|元素伤害|エレメンタルダメージ|근본적 손상|Elementarer Schaden
poison_damage|Poison Damage|Myrkkyvahinko|Dano por Veneno|Урон Ядом|施毒伤害|毒ダメージ|독극물 데미지|Giftschaden
set_bonus|Set Bonus|Settibonus|Definição de Bônus|Бонус Набора|设置赏金|セット・ボーナス|보너스 설정|Set-Bonus
physical_damage|Physical Damage|Fyysinen vahinko|Dano Físico|Физический Урон|物理伤害|打撃ダメージ|물리적 데미지|Physischer Schaden
physical|Physical|Fyysinen|Físico|Физический|物理|打撃|물리적|Physisch
magic|Magic|Taika|Mágico|Магический|魔法|魔法|매직 데미지|Magisch
poison|Poison|Myrkky|Veneno|Яд|施毒|毒|독극물 데미지|Gift
wind|Wind|Tuuli|Vento|Ветер|风|風|바람 데미지|Wind
lightning|Lightning|Sähkö|Raio|Молния|雷电|雷|번개|Blitz
cold|Cold|Kylmä|Frio|Холод|寒冷|冷気|추위 데미지|Kälte
fire|Fire|Tuli|Fogo|Огонь|火|火気|불 데미지|Feuer
stunned|Stunned|Tainnutettu|Atordoado|Оглушенный|晕眩|麻痺|기절|Betäubt
frozen|Deep Freeze|Syväjää|Congelado|Глубокая заморозка|深度冰冻|ディープフリーズ|완전 빙결|Tiefgefroren
freeze|Frozen|Jäätynyt|Paralizado|Заморожен|冰冻|凍結|빙결|Eingefroren
poisoned|Poisoned|Myrkytetty|Envenenado|Отравлен|中毒|毒|중독|Vergiftet
slow|Slow|Hidastus|Lento|Замедление|缓慢|スロー|느려짐|Verlangsamt
burning_damage|Burning Damage|Palamisvahinko|Dano ardente|Урон от горения|燃烧伤害|燃焼ダメージ|불타는 피해|Brandschaden
burning|Burning|Palava|Em chamas|Горение|燃烧|火傷|불 탐|Brennend
immortality|Immortality|Kuolemattomuus|Imortalidade|Бессмертие|永生|不死|불사|Unsterblichkeit
double_damage|Double Damage|Tuplavahinko|Dano Dobrado|Двойной Урон|双重伤害|ダメージ2倍|두 배 데미지|Doppelter Schaden
elemental|Elemental|Elementaali|Elementar|Элементальный|元素|エレメンタル|근본적|Elementar
ruby_drops|Increased Ruby drops|Lisää rubiinien määrää|Drops de Rubi Aumentados|Увеличение кол-ва выпадающих Рубинов|增加了的红宝石滴|増加したルビードロップ|증가된 루비 드롭|Erhöhte Rubindrops
increased_damage|Increased Damage from all elements|Lisää vahinkoa kaikista elementeistä|Dano aumentado de todos os elementos|Увеличенный Урон всех Элементов|增加了的所有元素的伤害|すべてのエレメントからの増加したダメージ|모든 요소로부터 증가된 손상|Erhöhter Schaden durch alle Elemente
all_resistance|All Resistances|Kaikkiin vastustuksiin|Todas as Resistências|Ко всем Сопротивлениям|所有抗性|全耐性|모든 저항|Alle Widerstände
fire_resistance|Fire Resistance|Tulivastustus|Resistência a Fogo|Сопротивление Огню|耐火性|炎耐性|불 저항|Feuerwiderstand
cold_resistance|Cold Resistance|Kylmävastustus|Resistência a Frio|Сопротивление Холоду|耐寒性|氷耐性|추위 저항|Kältewiderstand
poison_resistance|Poison Resistance|Myrkkyvastustus|Resistência a Veneno|Сопротивление Яду|毒药抵抗|毒耐性|독 저항|Giftwiderstand
lightning_resistance|Lightning Resistance|Sähkövastustus|Resistência a Raio|Сопротивление Молнии|闪电的阻力|雷耐性|번개 저항|Blitzwiderstand
max_all_resistance|Max All Resistances|Maksimi kaikkiin vastustuksiin|Todas as Resistências Máximas|к максимуму всех Сопротивлений|最大化所有抗性|全耐性最大|모든 저항 최대치|Maximale Widerstände
max_physical_resistance|Max Physical Resistance|Maksimi fyysinen vastustus|Resistência Física Máxima|к максимуму Физического Сопротивления|最大化物理抗性|物理耐性最大|물리적 저항 최대치|Maximaler physischer Widerstand
max_magic_resistance|Max Magic Resistance|Maksimi taikavastustus|Resistência Mágica Máxima|к максимуму Магического Сопротивления|最大化魔法抗性|魔法耐性最大|마법 저항 최대치|Maximaler magischer Widerstand
max_fire_resistance|Max Fire Resistance|Maksimi tulivastustus|Resistência a Fogo Máxima|к максимуму Сопротивления Огню|最大化耐火性|炎耐性最大|불 저항 최대치|Maximaler Feuerwiderstand
max_cold_resistance|Max Cold Resistance|Maksimi kylmävastustus|Resistência a Frio Máxima|к максимуму Сопротивления Холоду|最大化耐寒性|氷耐性最大|추위 저항 최대치|Maximaler Kältewiderstand
max_poison_resistance|Max Poison Resistance|Maksimi myrkkyvastustus|Resistência a Veneno Máxima|к максимуму Сопротивления Яду|最大化毒药抵抗|毒耐性最大|독 저항 최대치|Maximaler Giftwiderstand
max_lightning_resistance|Max Lightning Resistance|Maksimi sähkövastustus|Resistência a Raio Máxima|к максимуму Сопротивления Молнии|最大化闪电阻力|雷耐性最大|번개 저항 최대치|Maximaler Blitzwiderstand
block|Block|Torjunta|Bloquear|Блок|阻止|ブロック|차단|Block
taunt|Taunt|Ärsytys|Provocação|Провокация|羞辱|煽り|조롱|Verspotten
miniboss|a miniboss|minipomo|un miniboss|минибосс|小老闆|ミニボス|미니 보스|ein miniboss
summon|Minion|Kätyri|Convocar|Приспешник|奴才|ミニオン|미니언|Diener
weapon_damage|Weapon Damage|Aseen Vahinko|Dano Por Arma|Урон Оружия|武器伤害|武器ダメージ|무기 피해|Waffenschaden
tick_rate|Tick Rate|Iskunopeus|taxa de carrapatos|Частота|滴答率|ティックレート|진드기 속도|Tickrate
armor_break|Armor Break|Suojan Tuhous|Ruptura de armadura|Разрушение Брони|破甲|アーマーブレイク|방어구|Rüstungsbruch
cooldown|Cooldown|Palautumisaika|Tempo de recuperação|Перезарядка|恢复时间|回復時間|회복 시간|Abklingzeit
ability_power|Ability Power|Taitovoima|Ability Power|Сила Способностей|技能增幅|Ability Power|Ability Power|Fähigkeitsstärke
attack_power|Attack Power|Hyökkäysvoima|Attack Power|Сила Атаки|攻击增幅|Attack Power|Attack Power|Angriffsstärke
