[talents]|en|fi|pt|ru|zh|ja|ko|de
amazon_desc_2|Throw multiple Poison Knives in an arc, damaging and poisoning your foes.|Heitä useita Myrkkytikareita kaaressa vahingoittaen ja myrkyttäen vihollisiasi.|Jogue várias facas venenosas em um arco, danificando e envenenando seus inimigos.|Бросает Отравленные Ножи, которые наносят урон врагам и Отравляют их.|将多把毒刀弯成弧形，损坏并毒害您的敌人。|複数のポイズンナイフを弧を描いて投げ、敵にダメージを与え、毒を与えます。|여러 개의 독 나이프를 원호에 던져 적에게 피해를 입히고 중독시킵니다.|Wirf mehrere Giftmesser in einen Bogen und beschädige und vergifte deine Feinde.
amazon_desc_3|Chance on attack to throw a volley of spears that impale targets from above.|Mahdollisuus hyökätessä heittää sarja keihäitä, jotka iskevät kohteeseen ylhäältä.|Chance de atacar para lançar uma saraivada de lanças que empalam alvos de cima.|Охотница имеет шанс при Базовой Атаке обрушить на врагов ливень копий.|可能会发动攻击，掷出长矛，从上空刺穿目标。|上からターゲットを突き刺す槍のボレーを投げる攻撃のチャンス。|위에서 공격 할 확률이 높은 스피어를 던질 수 있습니다.|Chance beim Angriff, eine Salve von Speeren zu werfen, die Ziele von oben aufspießen.
amazon_desc_4|The Huntress leaps in the air dealing damage and stunning enemies when landing.|The Huntress leaps in the air dealing damage and stunning enemies when landing.|The Huntress leaps in the air dealing damage and stunning enemies when landing.|Охотница совершает скачок, нанося урон и Оглушая их при приземлении.|女猎手在空中跳跃，在着陆时造成伤害并击昏敌人。|The Huntress leaps in the air dealing damage and stunning enemies when landing.|The Huntress leaps in the air dealing damage and stunning enemies when landing.|The Huntress leaps in the air dealing damage and stunning enemies when landing.
amazon_desc_5|Apply a poison to your weapon, increasing chance to poison and increasing damage on already poisoned targets.|Levitä myrkkyä aseeseesi, mikä lisää myrkytysmahdollisuutta ja lisää vaurioita jo myrkytettyihin kohteisiin.|Aplique um veneno à sua arma, aumentando a chance de envenenar e aumentando o dano em alvos já envenenados.|Смазывает оружие ядом, увеличивая шанс наложить Отравление и урон по Отравленным целям.|给武器涂上毒药，增加中毒的机会，并增加已经中毒的目标的伤害。|武器に毒を適用すると、毒になる可能性が高まり、すでに毒されたターゲットに与えるダメージが増加します。|무기에 독을 바르면 독에 중독 될 확률이 높아지고 이미 독에 걸린 대상에 대한 피해가 증가합니다.|Wenden Sie ein Gift auf Ihre Waffe an, um die Chance auf Vergiftung zu erhöhen und den Schaden bereits vergifteter Ziele zu erhöhen.
amazon_desc_6|Increases Movement Speed after killing an enemy.|Lisää liikkumisnopeutta vihollisen tappamisen jälkeen.|Aumenta a velocidade de movimento após matar um inimigo.|При убийстве врага увеличивает Скорость Передвижения на несколько секунд.|杀死敌人后提高移动速度。|敵を倒した後の移動速度が上がる。|적을 처치 한 후 이동 속도가 증가합니다.|Erhöht die Bewegungsgeschwindigkeit nach dem Töten eines Feindes.
amazon_desc_7|The Huntress's toxins are contagious even after death, making dead enemies spread their poison around.|Metsästäjän myrkyt ovat tarttuvia jopa kuoleman jälkeen, jolloin kuolleet viholliset levittävät myrkkyä ympärilleen.|As toxinas da Caçadora são contagiosas mesmo após a morte, fazendo com que inimigos mortos espalhem seu veneno.|Яд Охотницы смертельно опасен даже после смерти жертвы. Враги после смерти распространяют Отравление.|女猎手的毒素即使在死亡后仍具有传染性，使死去的敌人向周围散布毒药。|ハントレスの毒素は死後も伝染し、死んだ敵に毒をまき散らします。|헌트리스의 독소는 죽은 후에도 전염성이있어 죽은 적들이 독을 퍼뜨릴 수 있습니다.|Die Giftstoffe der Jägerin sind auch nach dem Tod ansteckend und lassen tote Feinde ihr Gift verteilen.
amazon_desc_8|Increases Huntress's ability to dodge. Releases a cloud of poison when hit.|Lisää Metsästäjän kykyä väistää. Vapauttaa myrkkypilven ottaessaan osumaa.|Aumenta a capacidade de caçadora de esquivar. Lança uma nuvem de veneno quando atingida.|Усиливает способность Охотницы ловко Уклоняться от атак врагов. Увеличивает Шанс Уклонения. При получении Удара от врага Охотница выпускает облако ядовитого дыма.|提高女猎人的躲闪能力。被击中时释放出毒气。|ハントレスの回避能力を高めます。ヒットすると毒の雲を放出します。|헌트리스의 회피 능력을 증가시킵니다. 적중시 독의 구름을 방출합니다.|Erhöht die Ausweichfähigkeit der Jägerin. Löst eine Giftwolke aus, wenn sie getroffen wird.
amazon_desc_9|The Huntress multiplies all poison damage she inflicts, also refreshing every stack's timer.|Metsästäjä moninkertaistaa kaikki aiheuttamansa myrkytysvahingot ja päivittäen myös jokaisen pinon ajastimen.|A Caçadora multiplica todo o dano venenoso que ela causa, além de atualizar o cronômetro de cada pilha.|Охотница обновляет длительность всех наложенных зарядов Отравления и увеличивает их урон.|女猎手将她造成的所有毒药伤害加倍，还刷新了每个堆叠的计时器。|ハントレスは、彼女が与えるすべての毒ダメージを倍増させ、すべてのスタックのタイマーをリフレッシュします。|헌트리스는 자신이받는 모든 독 피해를 곱하고 모든 스택 타이머를 새로 고침합니다.|Die Jägerin multipliziert den von ihr verursachten Giftschaden und aktualisiert den Timer jedes Stapels.
amazon_desc_10|Empower your spear for several attacks dealing heavy damage.|Voimaannuta keihääsi useiden hyökkäyksien verran, jotka tuottavat paljon vahinkoa.|Capacite sua lança para vários ataques que causam dano pesado.|Валькирия усиливает себя на несколько следующих Базовых Атак: Базовые Атаки наносят дополнительный урон.|使您的长矛能够进行几次造成沉重伤害的攻击。|大きなダメージを与えるいくつかの攻撃で槍を強化します。|큰 피해를 입히는 여러 번의 공격으로 창을 강화하십시오.|Stärken Sie Ihren Speer für mehrere Angriffe, die schweren Schaden verursachen.
amazon_desc_11|Valkyrie's spears have a chance to rebound into the closest enemy.|Valkyrian keihäällä on mahdollisuus kimmota lähimpään viholliseen.|As lanças de Valkyrie têm a chance de se recuperar no inimigo mais próximo.|Снаряды Базовой Атаки Валькирии имеют шанс отскочить после поражения цели и поразить другого врага.|女武神的长矛有机会反弹到最近的敌人。|ヴァルキリーの槍は、最も近い敵にリバウンドするチャンスがあります。|발키리의 창은 가장 가까운 적에게 반격 할 수 있습니다.|Walküren-Speere haben die Chance, in den nächsten Feind zurückzuprallen.
amazon_desc_12|The Valkyrie has a chance to execute a low health enemy.|Valkyrialla on mahdollisuus teloittaa matalalla elämällä oleva vihollinen.|A Valquíria tem a chance de executar um inimigo com pouca vida.|Валькирия имеет шанс Добить врага, если его Здоровье ниже определенного значения.|女武神有机会处决一个健康状况低下的敌人。|ヴァルキリーは健康状態の悪い敵を実行するチャンスがあります。|발키리에게는 적은 체력으로 적을 처형 할 수 있습니다.|Die Walküre hat die Chance, einen Feind mit geringer Gesundheit zu exekutieren.
amazon_desc_13|Increases the Valkyrie's and her party member's Movement Speed.|Lisää Valkyrian ja hänen liittolaisten liikkumisnopeutta.|Aumenta a Velocidade de Movimento dos Valquírias e de seus membros do partido.|Увеличивает Скорость Передвижения Валькирии и её союзников.|提高女武神及其党员的移动速度。|ヴァルキリーとそのパーティーメンバーの移動速度を上げます。|발키리와 파티원의 이동 속도가 증가합니다.|Erhöht die Bewegungsgeschwindigkeit der Walküre und ihres Gruppenmitglieds.
amazon_desc_14|The Valkyrie launches a rampage of spears in a circle around her.|Valkyria heittää keihäitä ympyrämuodostelmassa ympärilleen.|A Valquíria lança uma multidão de lanças em um círculo ao seu redor.|Валькирия метает копья по кругу во все стороны.|女武神在她周围转了一圈长矛。|ヴァルキリーは彼女の周りの円の槍の大暴れを起動します。|발키리는 그녀의 주위에 원을 그리며 창을 던진다.|Die Walküre startet einen Speerrausch in einem Kreis um sie herum.
amazon_desc_15|The Valkyrie imbues herself with lightning and dashes forwards throwing forks of lightning at nearby enemies.|Valkyria valaa itsensä salamalla ja ryntää eteenpäin heittäen salamanhaaroja lähellä oleviin vihollisiin.|A Valquíria se enche de raios e corre para a frente, lançando raios de garfo contra inimigos próximos.|Валькирия наполняет себя силой Молний и совершает рывок, поражая врагов на пути молнией.|女武神充满闪电，向附近敌人投掷闪电，向前方冲刺。|ヴァルキリーは自分に稲妻を吹き込み、近くの敵に稲妻のフォークを投げて前方にダッシュします。|발키리는 번개를 쏘고 근처의 적에게 번개를 던집니다.|Die Walküre erfüllt sich mit Blitzen und rast vorwärts, wobei sie Blitzgabeln auf nahegelegene Feinde wirft.
amazon_desc_16|Upon slaying a foe, increases The Valkyrie's Movement Speed and Damage.|Vihollisen tapolla, lisää Valkyrian liikkumisnopeutta ja tuotettua vauriota.|Ao matar um inimigo, aumenta a velocidade de movimento e os danos da Valquíria.|При убийстве врага увеличивает Скорость Передвижения и урон на несколько секунд.|杀死敌人后，会提高女武神的移动速度和伤害。|敵を倒すと、ヴァルキリーの移動速度とダメージが増加します。|적을 처치하면 발키리의 이동 속도와 피해가 증가합니다.|Erhöht beim Töten eines Feindes die Bewegungsgeschwindigkeit und den Schaden der Walküre.
amazon_desc_17|The Valkyrie's spears have a chance to strike with lightning causing AOE damage on impact.|Valkyrien keihällä on mahdollisuus iskeä salamalla aiheuttaen AOE -vahinkoa osuessa.|As lanças das Valquírias têm chance de atingir raios, causando dano de AOE no impacto.|Снаряды Базовой Атаки Валькирии имеют шанс при попадании ударить молнией, что вызовет урон молнией по области вокруг цели.|女武神的长矛有机会被闪电击中，造成AOE伤害。|ヴァルキリーの槍は落雷する可能性があり、衝撃でAOEダメージを引き起こします。|발키리의 창에는 번개가 쳐서 충격에 대한 AOE 피해가 발생합니다.|Die Speere der Walküre können mit einem Blitz einschlagen und beim Aufprall AOE-Schaden verursachen.
amazon_desc_18|Temporarily gives the Valkyrie 100% Cooldown Reduction, while autocasting Spearnage with increased Lightning Damage.|Väliaikaisesti antaa Valkyrialle 100% kykyjen palautumisen, kun samalla loihtii automattisesti Keihästyksen lisätyllä salamavaurioilla.|Temporariamente, fornece à Valquíria 100% de Redução do Tempo de Recarga, enquanto auto-detecta Spearnage com aumento de Dano de Raio.|Дарует временное усиление, которое снижает Время Перезарядки Способностей Амазонки на 100%, снижает Глобальное Время Перезарядки и дарует увеличение урона.|暂时使女武神的冷却时间降低100％，同时自动铸造矛刺，并增加闪电伤害。|一時的にヴァルキリーに100％のクールダウン削減を与え、雷ダメージを増加させてスピアネージをオートキャストします。|일시적으로 발키리에게 100 % 재사용 대기 시간 감소 효과를주고, 번개 피해가 증가하면 스피어 니지를 자동 시전합니다.|Erhöht vorübergehend die Abklingzeit der Walküre um 100%, während Spearnage mit erhöhtem Blitzschaden automatisch gesendet wird.
||||||||
demon_slayer_talent_1|Trigger Finger|Liipasinsormi|Dedo em Gatilho|Спустить Курок|三重指令|トリガーフィンガー|방아쇠 손가락|Abzugfinger
demon_slayer_talent_2|Eagle Eye|Kotkan silmä|Olho de Águia|Орлиный Глаз|鹰眼|イーグルアイ|독수리 눈|Adlerauge
demon_slayer_talent_3|Execute|Teloitus|Executar|Казнь|心眼|エクセキュート|집행|Exekutieren
demon_slayer_talent_4|Bullet Hell|Luotihelvetti|Inferno de Balas|Адский Шквал|子弹地狱|バレットヘル|총알 지옥|Kugelhölle
demon_slayer_talent_5|Shadow Grasp|Varjo-ote|Agarro das Sombras|Хватка Теней|暗影掌握|シャドーグラスプ|그림자 통제|Schattengriff
demon_slayer_talent_6|Demon Shield|Demonikilpi|Escudo do Demônio|Демонический Щит|恶魔护盾|悪魔の盾|악마 방패|Dämonenschild
demon_slayer_talent_7|Shredder Trap|Silppuriansa|Armadilha Trituradora|Ловушка-Шреддер|碎纸机的陷阱|シュレッダートラップ|파쇄기 함정|Schredderfalle
demon_slayer_talent_8|Demon's Presence|Demonin olemus|Presença do Demônio|Чутье на Демонов|恶魔的存在|悪魔の列席|악마의 존재|Dämonenpräsenz
demon_slayer_talent_9|Absolute Mayhem|Absoluuttinen sekasorto|Caos Absoluto|Абсолютное Безумие|绝对的混乱|無限騒乱|완전한 아수라장|Absolutes Chaos
demon_slayer_talent_10|Fast Slices|Nopeat sivallukset|Cortes Rápidos|На Куски!|快速切片|ファストスライス|빠른 슬라이스|Schnelle Scheiben
demon_slayer_talent_11|Vitals|Elonmerkit|Vitais|Смертельные Раны|命脉|バイタル|생식기|Vitale
demon_slayer_talent_12|Heart Attack|Sydänkohtaus|Ataque cardíaco|В Сердце|心脏病发作|心臓発作|심장 마비|Herzinfarkt
demon_slayer_talent_13|Demon's Calling|Demonin kutsu|Chamado do Demônio|Призыв Демона|恶魔的召唤|悪魔の叫び|악마의 부름|Dämonruf
demon_slayer_talent_14|Focused Mind|Kohdennettu mieli|Mente Focada|Сосредоточенный разум|专心|集中心|집중된 마음|Fokussierter Geist
demon_slayer_talent_15|Slice of Shadows|Varjojen siivu|Fatia de Sombras|Расслоение Теней|一片阴影|影のスライス|그림자 조각|Schattenscheibe
demon_slayer_talent_16|Soul Leech|Sieluimu|Sugador de Alma|Поглощение Душ|灵魂水蛭|ソウルリーチ|영혼의 거머리|Seelenegel
demon_slayer_talent_17|Unholy Possession|Epäpyhä Riivaus|Possessão profana|Одержимость|邪恶的占有|不聖な所有|부정한 소유|Unheiliger Besitz
demon_slayer_talent_18|Demon Form|Demonimuoto|Forma Demoníaca|Истинная Форма|恶魔的形式|デモンフォーム|악마 형태|Dämonform
||||||||
demon_slayer_desc_1|Fires 3 different guns each cast and stuns enemies with the last projectile.|Ampuu 3 erilaista asetta jokaisella loitsulla ja tainnuttaa viholliset viimeisellä ammuksella.|Dispara 3 armas diferentes para cada tiro e atordoa os inimigos com o último tiro.|Выстреливает из 3 разных пушек по очереди. Снаряд третьей пушки Оглушает при попадании.|每次发射3门不同的枪，用最后一枚子弹击晕敌人。|3つの異なる銃が弾丸を発射し、最後の弾で敵をスタンさせる。|캐스트마다 3가지 종류의 총을 쏘고 마지막 발사체로 적을 실신시킵니다.|Finde drei verschiedene Waffen, jede betäubt Feinde mit dem letzten Projektil.
demon_slayer_desc_2|On attack your projectile has a chance to apply armor break|Hyökätessäsi ammuksellasi on mahdollisuus rikkoa panssari.|Ao atacar seu projétil tem a chance de aplicar a quebra de blindagem|При попадании Базовой Атакой имеет шанс Стянуть всех ближайших врагов к этому снаряду Базовой Атаки.|攻击时，你的投射物有机会应用破甲术|攻撃時にはアーマーブレイクのチャンスがあります。|공격하면 발사체에 적을 위치로 끌어당길 수 있는 기회가 생깁니다.|Beim Angriff hat Ihr Projektil eine Chance, Rüstungsbruch anzuwenden
demon_slayer_desc_3|Execute makes the Gunslinger deal more damage to low HP enemies below 50% health.|Execute makes the Gunslinger deal more damage to low HP enemies below 50% health.|Execute makes the Gunslinger deal more damage to low HP enemies below 50% health.|Наносит больше урона врагам с уровнем Здоровья ниже 50%.|使枪手对生命值低于50%的低血量敌人造成更多伤害。|Execute makes the Gunslinger deal more damage to low HP enemies below 50% health.|Execute makes the Gunslinger deal more damage to low HP enemies below 50% health.|Execute makes the Gunslinger deal more damage to low HP enemies below 50% health.
demon_slayer_desc_4|Unleashes a barrage of bullets in a cone in front of you.|Vapauta eteesi luotiryöppy kartiomuodostelmassa.|Desencadeia uma série de balas em cone na sua frente.|Выпускает множество снарядов в конусе перед Убийцей Демонов.|在你面前射出一连串的子弹。|前方へ円すい状に弾丸の集中砲火を放つ。|앞에 있는 원뿔에서 집중 사격을 실시합니다.|Entfesselt eine Salve von Kugeln auf einen Kegel vor dir.
demon_slayer_desc_5|Gives a chance to block enemy attacks. When blocked, ignites the attacker into flames dealing damage over time.|Antaa mahdollisuuden torjua vihollisen hyökkäykset. Torjuessa, hyökkääjä syttyy liekkeihin, joka aiheuttaa vahinkoa ajan myötä.|Dá a chance de bloquear ataques inimigos. Quando bloqueado, acende o agressor em chamas, causando dano ao longo do tempo.|Дарует дополнительный Шанс Блока. При Блокировании атаки противника поджигает врага адским пламенем, что наносит периодический ему урон.|有机会阻挡敌人的攻击。当被阻挡时，会将攻击者点燃成火焰，造成持续的伤害。|敵の攻撃をブロックすることがある。ブロックに成功すると、攻撃者は時間経過とともにダメージを受ける炎に包まれる。|적의 공격을 차단할 수 있는 기회를 줍니다. 차단되면 공격자에게 불을 붙여 시간이 지날수록 손상을 입게 됩니다.|Gibt die Chance, feindliche Angriffe zu blockieren. Wenn sie blockiert werden, zünden sie den Angreifer an und fügen langfristig Schaden hinzu.
demon_slayer_desc_6|On attack, the Gunslinger has a chance to shield himself for a percentage of the Weapon Damage.|On attack, the Gunslinger has a chance to shield yourself for a percentage of your Weapon Damage.|On attack, the Gunslinger has a chance to shield yourself for a percentage of your Weapon Damage.|При Базовой Атаке Убийца Демонов имеет шанс наложить на себя Демонический Щит в размере, зависящем от Урона Оружия.|攻击时，持枪者有机会保护自己免受一定比例的武器伤害。|On attack, the Gunslinger has a chance to shield yourself for a percentage of your Weapon Damage.|On attack, the Gunslinger has a chance to shield yourself for a percentage of your Weapon Damage.|On attack, the Gunslinger has a chance to shield yourself for a percentage of your Weapon Damage.
demon_slayer_desc_7|Attach exploding shredders to all nearby enemies.|Kiinnitä räjähtävät silppurit kaikkiin lähellä oleviin vihollisiin.|Prende trituradores explosivos a todos os inimigos próximos.|Прикрепляет Ловушки-Шреддеры ко всем врагам в определенном радиусе.|将爆炸碎纸机连接到附近的所有敌人。|近くにいるすべての敵に、爆発するシュレッダーを取り付ける。|인근의 모든 적에게 폭발하는 파쇄기를 부착합니다.|Hänge den Feinden in der Nähe explodierende Schredder an.
demon_slayer_desc_8|Gunslinger deals additional damage the nearby enemies.|Gunslinger deals additional damage the nearby enemies.|Gunslinger deals additional damage the nearby enemies.|Убийца Демонов наносит увеличенный урон по ближайшим врагам.|枪手对附近的敌人造成额外伤害。|Gunslinger deals additional damage the nearby enemies.|Gunslinger deals additional damage the nearby enemies.|Gunslinger deals additional damage the nearby enemies.
demon_slayer_desc_9|Call upon the god of firearms and unleash mayhem. Every enemy shoots a bullet to the nearest foe.|Kutsu tuliaseiden jumalaa ja vapauta sekasorto. Jokainen vihollinen ampuu luodin lähimpään vihollisen.|Invoca o deus das armas de fogo e desencadeia o caos. Todo inimigo atira uma bala no inimigo mais próximo.|Воззови к Богу Оружия и поддайся Безумию! Поражает всех врагов на экране, наносит урон и Оглушает их.|召唤枪支之神，发动大破坏。每个敌人都会向最近的敌人开枪。|火器の神を呼び出し、騒乱を巻き起こす。すべての敵が、最も近い敵に弾丸を放つ。|총기의 신을 소환하여 아수라장을 만듭니다. 모든 적이 가장 가까이 있는 적에게 총알을 발사합니다.|Rufe den Gott der Waffen an und entfessle das Chaos. Jeder Feind schießt eine Kugel auf den nächsten Feind.
demon_slayer_desc_10|The Executioner unleashes three dash attacks in sequence, knocking enemies in air with his last attack.|Teloittaja vapauttaa peräkkäin kolme hyökkäystä ja lyö viholliset ilmaan viimeisellä hyökkäyksellään.|O carrasco desfere três ataques rápidos em sequência, derrubando os inimigos no ar com seu último ataque.|Совершает 3 мощных рывка. На третьем рывке подбрасывает врагов в воздух при попадании.|行刑者依次发动三连击，最后一次攻击将敌人击飞。|死刑執行人は3回のダッシュ攻撃を順番に解き放ち、最後の攻撃で空中の敵をノックします。|집행자는 세 번의 돌진 공격을 연속적으로 발동하여 마지막 공격으로 적을 공중에 띄웁니다.|Der Henker löst nacheinander drei Schussangriffe aus und wirft mit seinem letzten Angriff Feinde in die Luft.
demon_slayer_desc_11|Shows enemy vital organs. Attacking from the right angle increases your damage!|Näyttää vihollisen elintärkeät elimet. Oikealta kulmalta hyökkääminen lisää vahinkoa!|Mostra os órgãos vitais do inimigo. Atacar do ângulo certo aumenta o dano!|Убийца Демонов видит слабые места врагов. Атакуя с верного направления, наносит увеличенный урон.|显示敌人的重要器官。从正确的角度进攻会增加伤害！|敵の重要な臓器を表示します。直角から攻撃するとダメージが大きくなります！|적의 중요한 장기를 보여줍니다. 직각으로 공격하면 데미지가 증가합니다!|Zeigt feindliche lebenswichtige Organe. Angriffe aus dem richtigen Winkel erhöhen Ihren Schaden!
demon_slayer_desc_12|Increases Vitals damage slowing enemies and Increasing the Executioner's Movement Speed for a short time.|Nostaa Elonmerkkien vahinkoa hidastaen vihollisia sekä nostaen Teloittajan liikkumisnopeutta hetkeksi.|Aumenta o dano vital, reduzindo a velocidade dos inimigos e aumentando a velocidade de movimento do executor por um curto período de tempo.|Увеличивает урон Смертельных Ран. Смертельные Раны замедляют врагов и временно увеличивают Скорость Передвижения Убийцы Демонов.|增加生命力伤害可以减慢敌人并在短时间内提高行刑者的移动速度。|バイタルダメージを増加させ、敵を遅くし、死刑執行人の移動速度を短時間増加させます。|활력이 적에게 피해를주고 짧은 시간 동안 집행자의 이동 속도를 증가시킵니다.|Erhöht den Vitalschaden, verlangsamt Gegner und erhöht für kurze Zeit die Bewegungsgeschwindigkeit des Henkers.
demon_slayer_desc_13|The Executioner unleashes a huge AOE attack that stuns all enemies around him breaking their armor.|Vapauta valtava AOE-hyökkäys, joka tainnuttaa kaikki ympärilläsi olevat viholliset ja rikkoo niiden panssarin.|Libera um enorme ataque de área que atordoa todos os inimigos ao seu redor e também quebra as armaduras deles.|Совершает мощную атаку по области. Наносит урон врагам в области, Оглушает их и накладывает Разрушение Брони.|释放一个巨大的范围攻击，打晕你周围的所有敌人，也打破他们的盔甲。|周りのすべての敵をスタンさせ、アーマーを破壊する巨大な範囲攻撃を放つ。|주변 모든 적을 실신시키고 그들의 갑옷도 깨뜨리는 거대한 AOE 공격을 개시합니다.|Entfessle eine riesige AOE-Attacke, die alle Feinde betäubt und auch ihre Rüstung bricht.
demon_slayer_desc_14|Increases the Demon Slayer’s critical strike chance and critical strike damage.|Lisää Demon Slayerin kriittisten lyöntien mahdollisuutta ja kriittisiä vahinkoa.|Aumenta a chance de acerto crítico e o dano de acerto crítico do Demon Slayer.|Увеличивает Шанс Критического Удара и Критический Урон.|增加恶魔杀手的暴击率和暴击伤害。|デーモンスレイヤーのクリティカルストライクチャンスとクリティカルストライクダメージを増加させます。|Demon Slayer의 치명타 확률과 치명타 피해가 증가합니다.|Erhöht die kritische Trefferchance und den kritischen Trefferschaden des Dämonentöters.
demon_slayer_desc_15|When attacking, the Executioner has a chance to unleash two deadly swirling attacks.|Hyökätessään Teloittajalla on mahdollisuus vapauttaa kaksi tappavaa pyörteistä hyökkäystä.|Ao atacar, o Carrasco tem a chance de desencadear dois ataques rodopiantes mortais.|При Базовой Атаке Убийца Демонов имеет шанс совершить 2 быстрые круговые атаки.|攻击时，执行者有机会发动两次致命的漩涡攻击。|攻撃するとき、死刑執行人は2つの致命的な渦巻く攻撃を解き放つチャンスがあります。|공격 할 때 집행자는 두 번의 치명적인 소용돌이 공격을 펼칠 수 있습니다.|Beim Angriff hat der Henker die Möglichkeit, zwei tödliche Wirbelangriffe auszulösen.
demon_slayer_desc_16|Leech health from nearby enemies damaging them for the same amount. Excess healing becomes a shield.|Läheisten vihollisten sauvaterveys vahingoittaa heitä samalla summalla. Liiallisesta paranemisesta tulee kilpi.|Suga a vida dos inimigos próximos, causando dano na mesma quantidade. O excesso de cura se torna um escudo.|Вытягивает Здоровье ближайших врагов: отнимает Здоровье у врагов и исцеляет Здоровье Убийцы Демонов в этом размере. Избыточное исцеление накладывается в виде Щита.|从附近的敌人身上吸取同等数量的血。过度的治疗成为一个盾牌。|近くの敵から体力を吸収し、それと同量のダメージを与える。過剰に回復するとシールドになる。|거머리는 인근 적에게서 건강을 얻고 그만큼 그들에게 손상을 입힙니다. 과도한 치유는 방패가 됩니다.|Saugt einem Feind in der Nähe Gesundheit aus. Extra-Heilen wird zu einem Schild.
demon_slayer_desc_17|The Executioner has a chance on attack to posses the closest enemy, creating a shadow clone to fight for him.|Teloittajalla on mahdollisuus hyökätessa riivata lähin vihollinen ja luoda varjoklooni taistelemaan puolestasi.|O Carrasco tem uma chance no ataque de possuir o inimigo mais próximo, criando um clone das sombras para lutar por ele.|При Базовой Атаке Убийца Демонов имеет шанс завладеть душой врага и призвать теневого клона.|e子手有机会攻击来攻击最接近的敌人，从而创建一个暗影克隆人为他战斗。|死刑執行人は攻撃のチャンスがあり、最も近い敵を所有し、彼のために戦うシャドウクローンを作成します。|집행자는 가장 가까운 적을 점령하여 그를 위해 싸울 섀도우 클론을 생성하는 공격 기회를가집니다.|Der Henker hat die Chance, im Angriff den nächsten Feind zu besitzen und einen Schattenklon zu erstellen, um für ihn zu kämpfen.
demon_slayer_desc_18|Turns the Demon Slayer into a powerful Demon increasing attack speed, movement speed, damage and armor.|Muuttaa Prirunmetsästjän voimakkaaksi demoniksi, joka lisää hyökkäysnopeutta, liikkumisnopeutta, tuotettua vauriota ja panssaria.|Transforma o Matador de Demônios em um poderoso Demônio, aumentando a velocidade de ataque, velocidade de movimento, dano e armadura.|Превращается в могущественного Демона, увеличивая Скорость Атаки, Скорость Передвижения, урон и Броню.|将恶魔杀手变成一个强大的恶魔，增加攻击速度，移动速度，伤害和护甲。|デモンスレイヤーを強力な悪魔に変化させ、攻撃速度、移動速度、ダメージ、アーマーを増加する。|악마 슬레이어를 강력한 악마로 만들어, 공격 속도, 이동 속도, 손상 및 갑옷을 증가시킵니다.|Verwandelt den Dämonentöter in einen Dämon, erhöht Angriffsgeschwindigkeit, Bewegungsgeschwindigkeit, Schaden und Rüstung.
||||||||
demonspawn_talent_1|Bone Fragments|Luun Jäänteet|Fragmentos de Ossos|Фрагменты Костей|骨碎片|骨片|뼈 파편|Knochenfragmente
demonspawn_talent_2|Impale|Lävistys|Empalar|Прокол|穿刺|インパール（突き刺す）|찌르기|Pfahl
demonspawn_talent_3|Bone Storm|Luumyrsky|Tempestade de Ossos|Костяной Вихрь|骨风暴|ボーンストーム|뼈 폭풍|Knochensturm
demonspawn_talent_4|Single Out|Eristetty|Destacar|Отбор|单出|シングルアウト|발탁하다|Herausgreifen
demonspawn_talent_5|Ossification|Luutuminen|Ossificação|Окостенение|骨化|骨化|골화|Ossifikation
demonspawn_talent_6|Cartilage Build Up|Rustoutuminen|Acumulação de cartilagem|Хрящ|软骨积聚|軟骨の蓄積|연골 형성|Knorpelaufbau
demonspawn_talent_7|Ominous Presence|Pahaenteinen Olemus|Presença Agourenta|Зловещее Присутствие|不祥的存在|不吉な存在|불길한 존재|Unheilvolle Präsenz
demonspawn_talent_8|Spinal Tap|Selkäydinpunktio|Punção lombar|Спинномозговая Пункция|脊椎丝锥|脊椎タップ|척추 탭|Wirbelsäulenhahn
demonspawn_talent_9|Bone Barrage|Luuryntäys|Barragem Óssea|Костяной Залп|骨弹幕|骨弾幕|뼈 사격|Knochensperre
demonspawn_talent_10|Gut Spread|Suolilevitys|Propagação intestinal|Кольцо Крови|内脏传播|ガット・スプレッド（散らした内臓）|내장 뿌리기|Eingeweide-Aufstrich
demonspawn_talent_11|Blood Bolts|Veripallot|Raios de Sangue|Кровяные Стрелы|血栓|ブラッドボルト|혈액 볼트|Blutblitze
demonspawn_talent_12|Manapool Aura|Mana-allas Aura|Aura da Piscina de Mana|Аура Прилив Маны|马纳浦光环|マナプールオーラ|마나 풀 아우라|Manavorrat Aura
demonspawn_talent_13|Blood Surge|Veriaalto|Surto de sangue|Прилив Крови|血之涌动|ブラッド・サージ（血の波動）|혈액 분출|Bluthochdruck
demonspawn_talent_14|Demonic Presence|Demoninen olemus|Presença demoníaca|Демоническое Присутствие|恶魔现身|デーモニック・プレゼンス（悪魔参列）|악마의 존재|Dämonische Präsenz
demonspawn_talent_15|Mana Shield|Manakilpi|Escudo de Mana|Щит Маны|能量盾|マナ・シールド|마나 방어막|Manaschild
demonspawn_talent_16|Mana Devour|Mana nielaisu|Devorar Mana|Поглощение Маны|能量吞食|マナ食い|마나 흡수|Mana Verschlingung
demonspawn_talent_17|Blood Demons|Veridemonit|Demônios do sangue|Кровавые Демоны|血恶魔|ブラッド・デーモンズ（血の悪魔）|피의 악마들|Blutdämonen
